,RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,1972.5,2300,2495,2200,2300,2200,1900,1950,2100,2000,2350,2100,1900,2000,2000,2045,2050,2100,2200,2195,2145,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2230,2290,2280,2299,2300,2295,2300,2295,2295,2300,2333,2300,2270,2295,2300,2300,2300,2320,2330,2350,2400,2395,2400,2395,2400,2400,2400,2375,2350,2350,2350,2350,2350,2329,2350,2350,2350,2308,2350,2375,2199,2295,2400,2400,2440,2470,2477,2490,2450,2400,2375,2350,2350,2310,2350,2375,2400,2400,2425,2400,2400,2395,2350,2350,2333,2341,2350,2400,2442,2450,2475,2450,2450,2400,2400,2400,2400
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,,,,,,,,,,,,,,,,896.5,895,945,950,950,925,905,950,995,965,995,960,983,1050,1075,1050,1095,1095,1034,1105,1096.5,1095,950,1050,1098,1095,1050,1075,1140,1195,1275,1335,1295,1295,1275,1325,1340,1345,1375,1395,1375,1425,1445,1440,1410,1427.5,1402,1395,1500,1550,1600,1584,1675,1595,1699,1550,1595,1525,1550,1450,1500,1715,1940,1825.5,1750,1875,1975,1969.5,1970.5,1933.5,1876,1890,1868,1871.5,1870,1858,1895,1820,1894,1925,1894,1900,1896,1811,1845,1880,1900,1976,1964,1970,1936,1911.5,1904,1850,1800,1835
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1210,1190,1212.5,1195,1155.5,1179,1239,1225,1269.5,1250,1200,1227,1224.5,1359,1339.5,1349,1325,1299,1342.5,1313,1313,1265.5,1240,1253,1232,1227,1250,1265,1100,1112,1210,1218,1197,1215
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,1450,1425,1400,1495,1450,1400,1300,1500,1600,1625,1750,1500,1411,1350,1350,1375,1349,1300,1300,1349,1313,1289,1295,1271,1225,1223.5,1280,1299,1290,1340,1396.5,1400,1395,1395,1390,1400,1430,1416,1400,1434,1442,1450,1495,1500,1495,1450,1475,1486,1467,1450,1450,1495,1532,1585,1500,1600,1595,1516,1473,1529.5,1628,1550,1500,1537,1550,1525,1500,1550,1550,1550,1525,1525,1566,1518,1500,1499,1452,1450,1450,1452,1500,1505,1498.5,1500,1499,1495,1492,1481,1495,1500,1536,1555,1550,1545,1513,1517,1500,1490,1450,1465,1485,1500,1516,1492,1475,1475,1475,1500,1464,1569,1540,1500,1450.5,1410,1430,1458,1405,1450,1500
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,746.5,750,823,800,910.5,906,850,839,862,935,937,900,950,935,899.5,899.5,995,955,965,995,995,1045,1099.5,1075,1035,1082.5,1092.5,1008,1023,1085,990,985.5,979,977,943,900
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,,,,,,837.5,750,750,715,750,750,787.5,850,800,845,800,845,830,827.5,795,797.5,750,825,850,820,805,795,800,890,875,892.5,850,795,795,807.5,895,975,895,950,950,900,960,1000,835,907.5,885,950,1000,995,995,950,940,940,937.5,999.5,975,990,995,1000,1050,1050,1032.5,997,1030,1040,1100,990,1032.5,1045,1045,1090,1050,1090,1050,1060,1100,1100,1100,1100,1095,1177,1145,1200,1193,1195,1167,1169.5,1199,1175,1195,1290,1300,1295,1295,1250,1240,1195,1195,1195,1200,1150,1150,1215,1205
6,San Diego,CA,San Diego-Carlsbad,San Diego County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.5,1498,1540,1565.5,1550,1500,1589,1600,1650,1692.5,1680,1400,1450,1578,1550,1564.5,1595,1450,1497.5,1599,1390,1543,1395,1410,1556,1680,1745,1680,1725,1745,1675,1736.5,1625,1675.5,1650,1638,1665,1735,1769,1772.5,1850,1850,1870,1881,1870,1835,1805,1830,1853,1845,1799,1765.5,1799,1807,1860,1857,1852.5,1850,1769.5,1725,1710
7,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.5,770,650,705,733,825,852.5,848,799.5,822.5,846,785,783,846,898.5,960,933,945,952.5,975,945,950,970,950,1026,1025,1040,995,1049.5,1105,1065,1069,1045.5,1026,1059,1035,1050,1075,1111,1095,1083,1116,1137.5,1105,1089.5,1103.5,1134.5,1155,1120,1103,1104.5,1100,1148.5,1155,1097.5,1172.5,1170,1170,1160,1165,1175,1190,1236,1240,1245,1269.5,1290,1291,1303,1249.5,1245,1215,1200,1200,1218,1200,1225,1235,1220,1203,1225,1234,1225,1235,1230,1251,1243.5,1263,1251,1265,1232.5
8,Austin,TX,Austin-Round Rock,Travis County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1500,1500,1550,1575,1595,1600,1595,1595,1597,1612,1650,1635,1617,1650,1675,1750,1700,1725,1747,1700,1600,1595,1600,1600,1609,1550,1599,1695,1695,1650,1650,1600,1600,1650,1695,1700,1695,1750,1725,1750,1750,1745,1700,1695,1667.5,1670,1650,1670,1675.5,1695,1700,1745,1750,1750,1700,1695,1695,1687.5,1675,1695,1665,1700,1750,1750,1749,1750,1724.5,1725,1715,1695
9,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2147.5,2120,2117.5,2195,2144.5,2223,2315,2395,2376,2340,2365,2367,2307.5,2327.5,2290,2200,2242.5,2284,2370,2047.5,2205,2060,2135,2074,2268,2230,2300,2280,2236.5,2309,2291,2261,2216,2289,2247,2199,2200,2185.5,2250,2312,2397.5,2427.5,2395,2500,2475,2430,2357.5,2350,2345,2362.5,2456,2466.5,2560.5,2615,2625,2569,2552,2500,2475,2520
