,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,California,1,2100,2100,2000,1995,1950,1950,1995,2000,1700,1695,1695,1750,1595,1625,1600,1650,1675,1650,1600,1600,1595,1550,1500,1500,1500,1500,1560,1530,1500,1525,1505,1550,1580,1565,1555,1528,1505,1550,1565,1545,1550,1505,1540,1535,1625,1640,1528.5,1695,1700,1640,1605,1678,1795,1800,1800,1800,1850,1895,1895,1912.5,1921,1950,1970,2000,2000,2025,2045,2087,2100,2100,2150,2150,2168.5,2195,2202,2200,2200,2199,2244,2189.5,2250,2118,2195,2150,2200,2294.5,2310,2350,2355,2350,2370,2350,2350,2330,2300,2300,2300,2320,2340,2395,2400,2400,2435,2450,2400,2400,2417,2410,2400,2405,2425,2485,2492,2495,2500,2500,2500,2495,2495,2495
1,Texas,2,,875,997,1050,995,995,950,985,900,922,946.5,924,950,945,950,935,940,950,935,929,900,899,900,935,950,970,990,950,964,970,970,1000,1015,900,1008,1040,1036,995,1025,1044,1055,1050,1075,1040,1100,1129,1150,1140,1155,1112,1105,1150,1130,1135,1115,1119,1119,1121,1120,1115,1125,1126,1129,1170,1175,1190,1180,1190,1189,1180,1250,1248,1252,1248,1289,1265,1259,1254,1246.5,1239,1264,1200,1200,1169,1230,1250,1265,1300,1330,1345,1342,1329,1330,1300,1317,1325,1310,1350,1378,1395,1400,1400,1406,1408,1399,1418,1415,1407,1408,1415,1445,1445,1450,1450,1449,1435,1427,1430,1420,1425
2,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2565,2500,2500,2500,2500,2500,2500,2550,2600,2590,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2600,2595,2400,2400,2349,2375,2400,2400,2450,2450,2450,2399,2326.5,2300,2300,2300,2295,2300,2399,2450,2450,2475,2450,2400,2350,2300,2300,2300,2300,2329,2395,2400,2450,2430,2445,2400,2350,2300,2300
3,Florida,4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1300,1300,1265,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1225,1200,1200,1200,1180,1200,1200,1200,1201,1225,1300,1300,1350,1350,1400,1400,1375,1350,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1339,1365,1399,1375,1400,1410,1500,1500,1500,1500,1550,1550,1550,1595,1600,1550,1504,1500,1499,1500,1500,1500,1600,1469,1500,1500,1550,1560,1567,1574,1594,1600,1600,1600,1609,1629,1605,1626,1650,1660,1650,1650,1657,1675,1675,1675,1671,1675,1660,1675,1680,1690,1695,1680,1684,1695,1669,1650,1629,1630
4,Illinois,5,,,1335,1350,1350,1400,1400,1375,1350,1400,1400,1450,1425,1495,1500,1550,1575,1650,1600,1595,1600,1525,1475,1490,1475,1450,1425,1395,1400,1495,1465,1470,1470,1495,1420,1450,1425,1500,1490,1495,1558,1600,1625,1643,1619,1550,1550,1622.5,1500,1450,1499,1500,1580,1595,1650,1579,1650,1600,1550,1450,1455,1575,1500,1555,1575,1550,1550,1550,1595,1550,1600,1545,1500,1600,1530,1550,1595,1590,1580,1550,1500,1495,1450,1495,1499,1500,1500,1550,1585,1595,1585,1550,1538,1500,1500,1500,1510,1550,1600,1650,1650,1675,1650,1650,1690,1625,1631,1650,1660,1700,1725,1700,1700,1695,1695,1650,1650,1575,1550,1525
5,Pennsylvania,6,,,1200,1200,1200,1200,1272.5,1325,1200,1199.5,1195,1100,1100,1050,1050,1100,1075,1058.5,1050,1080,1070,1000,1050,1080,1100,1125,1150,1195,1200,1200,1195,1150,1105,1100,1095,1050,1031.5,1050,1095,1100,1175,1195,1113,1100,1100,1055,1050,1075,1050,1050,1050,1100,1175,1187.5,1150,1100,1100,1095,1095,1095,1100,1100,1160,1195,1200,1200,1195,1150,1100,1100,1150,1145,1199,1200,1200,1215,1250,1200,1200,1195,1142,1150,1100,1125,1150,1195,1200,1250,1255,1250,1250,1250,1250,1235,1215,1201,1200,1210,1250,1299,1300,1300,1300,1280,1250,1275,1280,1295,1295,1299,1347,1360,1374,1390,1360,1350,1325,1300,1349,1322
6,Ohio,7,,,825,850,850,825,850,817,679,695,692,700,675,675,665,725,739,700,709.5,709,700,695,710,725,750,735,725,695,690,690,680,700,700,705,725,700,689,700,710,700,700,700,690,685,700,700,675,750,700,700,700,710,725,725,700,711.5,745,764.5,795,780,775,800,825,840,850,825,810,805,800,809,850,850,843,830,853,875,875,850,850,850,850,850,825,825,850,850,889,899,895,895,895,875,875,875,870,875,877,889,900,930,940,930,935,935,920,940,925,910,909,925,955,985,970,979,970,975,975,955,975,975
7,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,700,715,740,740,750,775,775,745,737,750,775,770,770,710,695,744,759,740,750,750,750,750,850,850,842.5,850,850,850,844,850,900,900,895,900,900,900,900,900,900,900,900,950,950,970,900,900,900,925,960,950,935,900,950,973.5,950,920,1000,975,932.5,975,1000,955,950,975,995,1000,987,1000,1000,1000,1010,1005,1000,995,995,1000,1050,1100,1075,1060,1060,1050,1075,1100,1099.5,1050,1025,1013,1050,1100,1119.5,1120,1135,1110,1103,1125,1150,1149
8,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1095,1105,1135,1050,1082,1075,1100,1115,1014,1050,1040,1112,1140,1175,1200,1240,1235,1247,1250,1256,1250,1260,1260.5,1270,1300,1325,1365,1385,1396,1395,1412,1376,1445,1435,1417.5,1425,1445,1460,1500,1490,1471,1452,1450,1450,1440,1450,1450
9,North Carolina,10,,800,800,800,800,800,825,800,825,825,800,820,750,775,775,775,750,765,765,765,750,750,750,750,750,775,795,795,785,775,785,800,795,796,795,775,780,800,825,829,825,800,805,795,775,775,759,775,784,775,775,795,800,800,800,800,795,799,800,800,800,800,825,850,850,850,850,850,850,850,949,925,935,925,999,990,995,985,1000,1042,1066,975,975,955,1000,995,1000,1050,1103,1110,1138,1121,1119,1105,1125,1108,1105,1160,1179,1200,1225,1215,1203.5,1229,1215,1226,1242,1218.5,1215,1235,1254,1295,1295,1295,1302,1290,1285,1265,1272,1285
