Area_name,,Average household size 2010
UNITED STATES,,2.58
ALABAMA,,2.48
Autauga, AL,2.68
Baldwin, AL,2.46
Barbour, AL,2.47
Bibb, AL,2.6
Blount, AL,2.63
Bullock, AL,2.46
Butler, AL,2.43
Calhoun, AL,2.44
Chambers, AL,2.42
Cherokee, AL,2.42
Chilton, AL,2.61
Choctaw, AL,2.34
Clarke, AL,2.47
Clay, AL,2.41
Cleburne, AL,2.51
Coffee, AL,2.49
Colbert, AL,2.37
Conecuh, AL,2.34
Coosa, AL,2.38
Covington, AL,2.39
Crenshaw, AL,2.44
Cullman, AL,2.49
Dale, AL,2.46
Dallas, AL,2.52
DeKalb, AL,2.62
Elmore, AL,2.61
Escambia, AL,2.48
Etowah, AL,2.43
Fayette, AL,2.39
Franklin, AL,2.56
Geneva, AL,2.43
Greene, AL,2.39
Hale, AL,2.46
Henry, AL,2.45
Houston, AL,2.44
Jackson, AL,2.45
Jefferson, AL,2.44
Lamar, AL,2.35
Lauderdale, AL,2.35
Lawrence, AL,2.5
Lee, AL,2.44
Limestone, AL,2.54
Lowndes, AL,2.57
Macon, AL,2.32
Madison, AL,2.43
Marengo, AL,2.43
Marion, AL,2.36
Marshall, AL,2.57
Mobile, AL,2.56
Monroe, AL,2.48
Montgomery, AL,2.45
Morgan, AL,2.5
Perry, AL,2.5
Pickens, AL,2.42
Pike, AL,2.34
Randolph, AL,2.46
Russell, AL,2.47
St. Clair, AL,2.58
Shelby, AL,2.6
Sumter, AL,2.32
Talladega, AL,2.48
Tallapoosa, AL,2.42
Tuscaloosa, AL,2.42
Walker, AL,2.49
Washington, AL,2.58
Wilcox, AL,2.58
Winston, AL,2.38
ALASKA,,2.65
Aleutians East, AK,2.56
Aleutians West, AK,2.49
Anchorage, AK,2.64
Bethel, AK,3.59
Bristol Bay, AK,2.32
Denali, AK,2.22
Dillingham, AK,3.07
Fairbanks North Star, AK,2.56
Haines, AK,2.18
Hoonah-Angoon, AK,2.35
Juneau, AK,2.49
Kenai Peninsula, AK,2.42
Ketchikan Gateway, AK,2.49
Kodiak Island, AK,2.86
Lake and Peninsula, AK,2.88
