Areaname,,Number of violent crimes known to police 2008
UNITED STATES,,1355301
ALABAMA,,19764
Autauga, AL,116
Baldwin, AL,306
Barbour, AL,31
Bibb, AL,44
Blount, AL,27
Bullock, AL,44
Butler, AL,73
Calhoun, AL,777
Chambers, AL,193
Cherokee, AL,18
Chilton, AL,395
Choctaw, AL,0
Clarke, AL,35
Clay, AL,13
Cleburne, AL,46
Coffee, AL,123
Colbert, AL,343
Conecuh, AL,27
Coosa, AL,24
Covington, AL,94
Crenshaw, AL,25
Cullman, AL,151
Dale, AL,177
Dallas, AL,339
DeKalb, AL,122
Elmore, AL,144
Escambia, AL,187
Etowah, AL,374
Fayette, AL,25
Franklin, AL,64
Geneva, AL,59
Greene, AL,98
Hale, AL,76
Henry, AL,57
Houston, AL,432
Jackson, AL,93
Jefferson, AL,5389
Lamar, AL,10
Lauderdale, AL,229
Lawrence, AL,46
Lee, AL,617
Limestone, AL,100
Lowndes, AL,11
Macon, AL,222
Madison, AL,1557
Marengo, AL,116
Marion, AL,58
Marshall, AL,256
Mobile, AL,1912
Monroe, AL,121
Montgomery, AL,953
Morgan, AL,345
Perry, AL,82
Pickens, AL,58
Pike, AL,81
Randolph, AL,35
Russell, AL,187
St. Clair, AL,163
Shelby, AL,269
Sumter, AL,11
Talladega, AL,338
Tallapoosa, AL,275
Tuscaloosa, AL,852
Walker, AL,157
Washington, AL,88
Wilcox, AL,20
Winston, AL,54
ALASKA,,4434
Aleutians East, AK,0
Aleutians West, AK,16
Anchorage, AK,3422
Bethel, AK,50
Bristol Bay, AK,0
Denali, AK,0
Dillingham, AK,47
Fairbanks North Star, AK,290
Haines, AK,8
Hoonah-Angoon, AK,6
Juneau, AK,122
Kenai Peninsula, AK,116
Ketchikan Gateway, AK,28
Kodiak Island, AK,37
Lake and Peninsula, AK,0
Matanuska-Susitna, AK,127
Nome, AK,0
North Slope, AK,60
Northwest Arctic, AK,12
Petersburg, AK,23
Prince of Wales-Hyder, AK,16
Sitka, AK,13
Skagway, AK,0
Southeast Fairbanks, AK,0
Valdez-Cordova, AK,41
Wade Hampton, AK,0
Wrangell, AK,0
Yakutat, AK,0
Yukon-Koyukuk, AK,0
ARIZONA,,30947
Apache, AZ,34
Cochise, AZ,669
Coconino, AZ,505
Gila, AZ,264
Graham, AZ,521
Greenlee, AZ,21
La Paz, AZ,159
Maricopa, AZ,18733
Mohave, AZ,717
Navajo, AZ,1435
Pima, AZ,5241
Pinal, AZ,1140
Santa Cruz, AZ,74
Yavapai, AZ,758
Yuma, AZ,676
ARKANSAS,,14264
Arkansas, AR,77
Ashley, AR,57
Baxter, AR,46
Benton, AR,463
Boone, AR,119
Bradley, AR,45
Calhoun, AR,4
Carroll, AR,73
Chicot, AR,81
Clark, AR,78
Clay, AR,17
Cleburne, AR,84
Cleveland, AR,4
Columbia, AR,97
Conway, AR,41
Craighead, AR,311
Crawford, AR,69
Crittenden, AR,749
Cross, AR,112
Dallas, AR,34
Desha, AR,46
Drew, AR,70
Faulkner, AR,308
Franklin, AR,44
Fulton, AR,19
Garland, AR,642
Grant, AR,32
Greene, AR,134
Hempstead, AR,127
Hot Spring, AR,28
Howard, AR,32
Independence, AR,190
Izard, AR,5
Jackson, AR,97
Jefferson, AR,928
Johnson, AR,37
Lafayette, AR,39
Lawrence, AR,41
Lee, AR,30
Lincoln, AR,17
Little River, AR,22
Logan, AR,61
Lonoke, AR,246
Madison, AR,30
Marion, AR,54
Miller, AR,574
Mississippi, AR,433
Monroe, AR,4
Montgomery, AR,4
Nevada, AR,8
Newton, AR,23
Ouachita, AR,86
Perry, AR,16
Phillips, AR,318
Pike, AR,14
Poinsett, AR,136
Polk, AR,39
Pope, AR,162
Prairie, AR,11
Pulaski, AR,3976
Randolph, AR,8
St. Francis, AR,142
Saline, AR,266
Scott, AR,36
Searcy, AR,7
Sebastian, AR,766
Sevier, AR,50
Sharp, AR,46
Stone, AR,8
Union, AR,242
Van Buren, AR,26
Washington, AR,785
White, AR,152
Woodruff, AR,12
Yell, AR,74
CALIFORNIA,,185172
Alameda, CA,12778
Alpine, CA,14
Amador, CA,127
Butte, CA,836
Calaveras, CA,93
Colusa, CA,42
Contra Costa, CA,4597
Del Norte, CA,114
El Dorado, CA,451
Fresno, CA,4287
Glenn, CA,62
Humboldt, CA,459
Imperial, CA,474
Inyo, CA,85
Kern, CA,4631
Kings, CA,614
Lake, CA,298
Lassen, CA,121
Los Angeles, CA,59788
Madera, CA,744
Marin, CA,547
Mariposa, CA,43
Mendocino, CA,560
Merced, CA,1541
Modoc, CA,43
Mono, CA,49
Monterey, CA,1973
Napa, CA,832
Nevada, CA,263
Orange, CA,7637
Placer, CA,801
Plumas, CA,138
Riverside, CA,8267
Sacramento, CA,9259
San Benito, CA,243
San Bernardino, CA,10489
San Diego, CA,12874
San Francisco, CA,6808
San Joaquin, CA,6156
San Luis Obispo, CA,780
San Mateo, CA,2167
Santa Barbara, CA,1653
Santa Clara, CA,5452
Santa Cruz, CA,1247
Shasta, CA,1174
Sierra, CA,8
Siskiyou, CA,152
Solano, CA,2354
Sonoma, CA,2031
Stanislaus, CA,2829
Sutter, CA,340
Tehama, CA,393
Trinity, CA,22
Tulare, CA,2257
Tuolumne, CA,134
Ventura, CA,2137
Yolo, CA,549
Yuba, CA,355
COLORADO,,16484
Adams, CO,1627
Alamosa, CO,74
Arapahoe, CO,1996
Archuleta, CO,14
Baca, CO,3
Bent, CO,10
Boulder, CO,599
Broomfield, CO,37
Chaffee, CO,19
Cheyenne, CO,1
Clear Creek, CO,38
Conejos, CO,0
Costilla, CO,0
Crowley, CO,6
Custer, CO,14
Delta, CO,80
Denver, CO,3379
Dolores, CO,0
Douglas, CO,326
Eagle, CO,100
Elbert, CO,10
El Paso, CO,2955
Fremont, CO,145
Garfield, CO,110
Gilpin, CO,12
Grand, CO,39
Gunnison, CO,51
Hinsdale, CO,1
Huerfano, CO,9
Jackson, CO,3
Jefferson, CO,1521
Kiowa, CO,0
Kit Carson, CO,14
Lake, CO,21
La Plata, CO,175
Larimer, CO,796
Las Animas, CO,45
Lincoln, CO,10
Logan, CO,41
Mesa, CO,471
Mineral, CO,0
Moffat, CO,40
Montezuma, CO,116
Montrose, CO,76
Morgan, CO,36
Otero, CO,39
Ouray, CO,23
Park, CO,20
Phillips, CO,2
Pitkin, CO,52
Prowers, CO,45
Pueblo, CO,217
Rio Blanco, CO,24
Rio Grande, CO,26
Routt, CO,82
Saguache, CO,15
San Juan, CO,4
San Miguel, CO,13
Sedgwick, CO,7
Summit, CO,80
Teller, CO,24
Washington, CO,8
Weld, CO,771
Yuma, CO,12
CONNECTICUT,,10737
Fairfield, CT,2875
Hartford, CT,2824
Litchfield, CT,590
Middlesex, CT,130
New Haven, CT,3657
New London, CT,518
Tolland, CT,47
Windham, CT,96
DELAWARE,,6187
Kent, DE,1044
New Castle, DE,4057
Sussex, DE,1086
DISTRICT OF COLUMBIA,,8509
District of Columbia,,8509
FLORIDA,,126080
Alachua, FL,2003
Baker, FL,75
Bay, FL,1076
Bradford, FL,152
Brevard, FL,3690
Broward, FL,10637
Calhoun, FL,30
Charlotte, FL,530
Citrus, FL,478
Clay, FL,927
Collier, FL,1174
Columbia, FL,447
DeSoto, FL,255
Dixie, FL,95
Duval, FL,8388
Escambia, FL,2727
Flagler, FL,273
Franklin, FL,30
Gadsden, FL,537
Gilchrist, FL,45
Glades, FL,56
Gulf, FL,74
Hamilton, FL,99
Hardee, FL,95
Hendry, FL,344
Hernando, FL,649
Highlands, FL,320
Hillsborough, FL,8324
Holmes, FL,45
Indian River, FL,474
Jackson, FL,263
Jefferson, FL,215
Lafayette, FL,19
Lake, FL,1750
Lee, FL,2834
Leon, FL,2308
Levy, FL,281
Liberty, FL,0
Madison, FL,182
Manatee, FL,2886
Marion, FL,2076
Martin, FL,486
Miami-Dade, FL,22005
Monroe, FL,392
Nassau, FL,652
Okaloosa, FL,689
Okeechobee, FL,295
Orange, FL,11896
Osceola, FL,1578
Palm Beach, FL,8659
Pasco, FL,1879
Pinellas, FL,7219
Polk, FL,2831
Putnam, FL,783
St. Johns, FL,703
St. Lucie, FL,1508
Santa Rosa, FL,280
Sarasota, FL,1513
Seminole, FL,1686
Sumter, FL,224
Suwannee, FL,243
Taylor, FL,285
Union, FL,58
Volusia, FL,2962
Wakulla, FL,89
Walton, FL,253
Washington, FL,49
GEORGIA,,45553
Appling, GA,15
Atkinson, GA,23
Bacon, GA,34
Baker, GA,1
Baldwin, GA,413
Banks, GA,131
Barrow, GA,330
Bartow, GA,411
Ben Hill, GA,16
Berrien, GA,45
Bibb, GA,1074
Bleckley, GA,34
Brantley, GA,35
Brooks, GA,148
Bryan, GA,73
Bulloch, GA,442
Burke, GA,116
Butts, GA,66
Calhoun, GA,6
Camden, GA,297
Candler, GA,1
Carroll, GA,910
Catoosa, GA,108
Charlton, GA,26
Chatham, GA,1518
Chattahoochee, GA,0
Chattooga, GA,49
Cherokee, GA,175
Clarke, GA,537
Clay, GA,3
Clayton, GA,1842
Clinch, GA,11
Cobb, GA,2293
Coffee, GA,219
Colquitt, GA,137
Columbia, GA,137
Cook, GA,64
Coweta, GA,296
Crawford, GA,42
Crisp, GA,152
Dade, GA,47
Dawson, GA,19
Decatur, GA,148
DeKalb, GA,5782
Dodge, GA,106
Dooly, GA,56
Dougherty, GA,937
Douglas, GA,337
Early, GA,66
Echols, GA,11
Effingham, GA,37
Elbert, GA,86
Emanuel, GA,8
Evans, GA,9
Fannin, GA,53
Fayette, GA,99
Floyd, GA,271
Forsyth, GA,144
Franklin, GA,43
Fulton, GA,9855
Gilmer, GA,50
Glascock, GA,1
Glynn, GA,644
Gordon, GA,108
Grady, GA,43
Greene, GA,51
Gwinnett, GA,2597
Habersham, GA,84
Hall, GA,404
Hancock, GA,12
Haralson, GA,131
Harris, GA,26
Hart, GA,99
Heard, GA,19
Henry, GA,541
Houston, GA,452
Irwin, GA,32
Jackson, GA,134
Jasper, GA,26
Jeff Davis, GA,57
Jefferson, GA,63
Jenkins, GA,32
Johnson, GA,41
Jones, GA,47
Lamar, GA,138
Lanier, GA,15
Laurens, GA,268
Lee, GA,19
Liberty, GA,271
Lincoln, GA,17
Long, GA,34
Lowndes, GA,397
Lumpkin, GA,49
McDuffie, GA,89
McIntosh, GA,57
Macon, GA,37
Madison, GA,90
Marion, GA,32
Meriwether, GA,64
Miller, GA,15
Mitchell, GA,181
Monroe, GA,55
Montgomery, GA,8
Morgan, GA,19
Murray, GA,57
Muscogee, GA,1275
Newton, GA,409
Oconee, GA,5
Oglethorpe, GA,48
Paulding, GA,379
Peach, GA,184
Pickens, GA,66
Pierce, GA,35
Pike, GA,15
Polk, GA,146
Pulaski, GA,2
Putnam, GA,104
Quitman, GA,7
Rabun, GA,11
Randolph, GA,9
Richmond, GA,1135
Rockdale, GA,422
Schley, GA,12
Screven, GA,42
Seminole, GA,31
Spalding, GA,286
Stephens, GA,61
Stewart, GA,29
Sumter, GA,215
Talbot, GA,3
Taliaferro, GA,3
Tattnall, GA,44
Taylor, GA,22
Telfair, GA,51
Terrell, GA,39
Thomas, GA,126
Tift, GA,313
Toombs, GA,160
Towns, GA,16
Treutlen, GA,22
Troup, GA,262
Turner, GA,9
Twiggs, GA,23
Union, GA,0
Upson, GA,86
Walker, GA,362
Walton, GA,235
Ware, GA,206
Warren, GA,2
Washington, GA,81
Wayne, GA,59
Webster, GA,0
Wheeler, GA,1
White, GA,77
Whitfield, GA,382
Wilcox, GA,10
Wilkes, GA,45
Wilkinson, GA,13
Worth, GA,23
HAWAII,,3510
Hawaii, HI,441
Honolulu, HI,2575
Kalawao, HI,0
Kauai, HI,208
Maui, HI,286
IDAHO,,3642
Ada, ID,892
Adams, ID,7
Bannock, ID,237
Bear Lake, ID,6
Benewah, ID,33
Bingham, ID,49
Blaine, ID,60
Boise, ID,11
Bonner, ID,55
Bonneville, ID,314
Boundary, ID,9
Butte, ID,19
Camas, ID,2
Canyon, ID,522
Caribou, ID,6
Cassia, ID,24
Clark, ID,0
Clearwater, ID,30
Custer, ID,11
Elmore, ID,55
Franklin, ID,7
Fremont, ID,7
Gem, ID,21
Gooding, ID,33
Idaho, ID,19
Jefferson, ID,25
Jerome, ID,36
Kootenai, ID,648
Latah, ID,40
Lemhi, ID,7
Lewis, ID,5
Lincoln, ID,2
Madison, ID,30
Minidoka, ID,34
Nez Perce, ID,50
Oneida, ID,7
Owyhee, ID,27
Payette, ID,28
Power, ID,13
Shoshone, ID,14
Teton, ID,10
Twin Falls, ID,195
Valley, ID,29
Washington, ID,13
ILLINOIS,,50287
Adams, IL,184
Alexander, IL,0
Bond, IL,0
Boone, IL,64
Brown, IL,0
Bureau, IL,0
Calhoun, IL,0
Carroll, IL,0
Cass, IL,0
Champaign, IL,1167
Christian, IL,0
Clark, IL,0
Clay, IL,4
Clinton, IL,21
Coles, IL,0
Cook, IL,37034
Crawford, IL,0
Cumberland, IL,0
DeKalb, IL,165
De Witt, IL,0
Douglas, IL,18
DuPage, IL,660
Edgar, IL,0
Edwards, IL,0
Effingham, IL,42
Fayette, IL,0
Ford, IL,0
Franklin, IL,0
Fulton, IL,0
Gallatin, IL,0
Greene, IL,0
Grundy, IL,82
Hamilton, IL,0
Hancock, IL,0
Hardin, IL,0
Henderson, IL,0
Henry, IL,49
Iroquois, IL,0
Jackson, IL,207
Jasper, IL,0
Jefferson, IL,0
Jersey, IL,0
Jo Daviess, IL,1
Johnson, IL,0
Kane, IL,802
Kankakee, IL,231
Kendall, IL,18
Knox, IL,0
Lake, IL,645
LaSalle, IL,69
Lawrence, IL,0
Lee, IL,12
Livingston, IL,10
Logan, IL,0
McDonough, IL,0
McHenry, IL,132
McLean, IL,463
Macon, IL,698
Macoupin, IL,0
Madison, IL,108
Marion, IL,108
Marshall, IL,0
Mason, IL,0
Massac, IL,0
Menard, IL,0
Mercer, IL,0
Monroe, IL,0
Montgomery, IL,102
Morgan, IL,103
Moultrie, IL,4
Ogle, IL,0
Peoria, IL,797
Perry, IL,0
Piatt, IL,0
Pike, IL,0
Pope, IL,0
Pulaski, IL,0
Putnam, IL,0
Randolph, IL,31
Richland, IL,8
Rock Island, IL,402
St. Clair, IL,130
Saline, IL,37
Sangamon, IL,1642
Schuyler, IL,0
Scott, IL,0
Shelby, IL,0
Stark, IL,5
Stephenson, IL,75
Tazewell, IL,205
Union, IL,7
Vermilion, IL,408
Wabash, IL,0
Warren, IL,0
Washington, IL,82
Wayne, IL,0
White, IL,0
Whiteside, IL,60
Will, IL,803
Williamson, IL,0
Winnebago, IL,2387
Woodford, IL,5
INDIANA,,20485
Adams, IN,8
Allen, IN,885
Bartholomew, IN,70
Benton, IN,1
Blackford, IN,11
Boone, IN,10
Brown, IN,13
Carroll, IN,13
Cass, IN,52
Clark, IN,200
Clay, IN,117
Clinton, IN,15
Crawford, IN,3
Daviess, IN,45
Dearborn, IN,49
Decatur, IN,3
DeKalb, IN,28
Delaware, IN,389
Dubois, IN,8
Elkhart, IN,314
Fayette, IN,27
Floyd, IN,132
Fountain, IN,10
Franklin, IN,6
Fulton, IN,3
Gibson, IN,12
Grant, IN,107
Greene, IN,10
Hamilton, IN,210
Hancock, IN,33
Harrison, IN,13
Hendricks, IN,130
Henry, IN,22
Howard, IN,259
Huntington, IN,48
Jackson, IN,112
Jasper, IN,153
Jay, IN,14
Jefferson, IN,7
Jennings, IN,62
Johnson, IN,313
Knox, IN,29
Kosciusko, IN,53
LaGrange, IN,14
Lake, IN,2154
LaPorte, IN,204
Lawrence, IN,51
Madison, IN,216
Marion, IN,9932
Marshall, IN,15
Martin, IN,15
Miami, IN,8
Monroe, IN,328
Montgomery, IN,65
Morgan, IN,29
Newton, IN,10
Noble, IN,21
Ohio, IN,10
Orange, IN,22
Owen, IN,1
Parke, IN,16
Perry, IN,21
Pike, IN,5
Porter, IN,341
Posey, IN,1
Pulaski, IN,22
Putnam, IN,23
Randolph, IN,25
Ripley, IN,7
Rush, IN,12
St. Joseph, IN,1151
Scott, IN,40
Shelby, IN,43
Spencer, IN,1
Starke, IN,47
Steuben, IN,24
Sullivan, IN,4
Switzerland, IN,14
Tippecanoe, IN,433
Tipton, IN,20
Union, IN,3
Vanderburgh, IN,528
Vermillion, IN,23
Vigo, IN,209
Wabash, IN,38
Warren, IN,3
Warrick, IN,144
Washington, IN,6
Wayne, IN,160
Wells, IN,10
White, IN,8
Whitley, IN,9
IOWA,,8507
Adair, IA,6
Adams, IA,3
Allamakee, IA,2
Appanoose, IA,38
Audubon, IA,6
Benton, IA,4
Black Hawk, IA,691
Boone, IA,95
Bremer, IA,74
Buchanan, IA,16
Buena Vista, IA,47
Butler, IA,4
Calhoun, IA,6
Carroll, IA,11
Cass, IA,16
Cedar, IA,16
Cerro Gordo, IA,41
Cherokee, IA,1
Chickasaw, IA,6
Clarke, IA,12
Clay, IA,2
Clayton, IA,13
Clinton, IA,211
Crawford, IA,11
Dallas, IA,71
Davis, IA,18
Decatur, IA,4
Delaware, IA,38
Des Moines, IA,241
Dickinson, IA,9
Dubuque, IA,417
Emmet, IA,13
Fayette, IA,23
Floyd, IA,11
Franklin, IA,0
