Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
UNITED STATES,," 17,530,277 "," 3,713,844 "
ALABAMA,," 247,682 "," 45,906 "
Autauga, AL," 1,943 ", 499 
Baldwin, AL," 5,701 "," 1,383 "
Barbour, AL, 837 , 91 
Bibb, AL, 515 , 74 
Blount, AL," 1,997 ", 304 
Bullock, AL, 349 , 63 
Butler, AL, 795 , 104 
Calhoun, AL," 6,843 ", 929 
Chambers, AL, 970 , 183 
Cherokee, AL, 705 , 212 
Chilton, AL, 908 , 233 
Choctaw, AL, 404 , 36 
Clarke, AL," 1,107 ", 120 
Clay, AL, 189 , 67 
Cleburne, AL, 397 , 111 
Coffee, AL," 1,975 ", 255 
Colbert, AL," 1,755 ", 301 
Conecuh, AL, 341 , 63 
Coosa, AL, 371 , 2 
Covington, AL," 1,127 ", 120 
Crenshaw, AL, 372 , 161 
Cullman, AL," 3,705 ", 387 
Dale, AL," 2,244 ", 248 
Dallas, AL," 1,857 ", 185 
DeKalb, AL," 2,314 ", 334 
Elmore, AL," 2,645 ", 578 
Escambia, AL, 964 , 238 
Etowah, AL," 3,787 ", 636 
Fayette, AL, 539 , 12 
Franklin, AL, 755 , 232 
Geneva, AL, 870 , 82 
Greene, AL, 241 , 99 
Hale, AL, 615 , 67 
Henry, AL, 721 , 25 
Houston, AL," 3,328 ", 641 
Jackson, AL," 1,860 ", 94 
Jefferson, AL," 33,377 "," 8,962 "
Lamar, AL, 391 , 22 
Lauderdale, AL," 5,223 ", 919 
Lawrence, AL," 1,013 ", 136 
Lee, AL," 24,345 "," 3,941 "
Limestone, AL," 3,249 ", 440 
Lowndes, AL, 268 , 42 
Macon, AL," 3,764 ", 478 
Madison, AL," 21,751 "," 5,210 "
Marengo, AL, 517 , 143 
Marion, AL," 1,143 ", 39 
Marshall, AL," 2,842 ", 410 
Mobile, AL," 20,999 "," 3,677 "
Monroe, AL, 641 , 64 
Montgomery, AL," 16,524 "," 2,747 "
Morgan, AL," 4,106 ", 630 
Perry, AL, 790 , 33 
Pickens, AL, 661 , 137 
Pike, AL," 4,194 ", 585 
Randolph, AL, 746 , 119 
Russell, AL," 2,019 ", 303 
St. Clair, AL," 2,587 ", 335 
Shelby, AL," 9,140 "," 1,884 "
Sumter, AL, 840 , 64 
Talladega, AL," 4,013 ", 333 
Tallapoosa, AL," 1,219 ", 284 
Tuscaloosa, AL," 21,788 "," 4,331 "
Walker, AL," 1,977 ", 262 
Washington, AL, 407 , 47 
Wilcox, AL, 223 , 103 
Winston, AL, 879 , 57 
ALASKA,," 38,918 "," 8,762 "
Aleutians East, AK, 60 , 16 
Aleutians West, AK, 187 , 26 
Anchorage, AK," 18,630 "," 4,209 "
Bethel, AK, 316 , 132 
Bristol Bay, AK, 45 , 3 
Denali, AK, 55 , 28 
Dillingham, AK, 146 , 72 
Fairbanks North Star, AK," 8,598 "," 1,513 "
Haines, AK, 12 , 29 
Hoonah-Angoon, AK, 61 , 46 
Juneau, AK," 1,605 ", 406 
Kenai Peninsula, AK," 2,073 ", 511 
Ketchikan Gateway, AK, 417 , 55 
Kodiak Island, AK, 331 , 182 
Lake and Peninsula, AK, 28 , 17 
Matanuska-Susitna, AK," 3,921 ", 895 
Nome, AK, 283 , 100 
North Slope, AK, 114 , 56 
Northwest Arctic, AK, 254 , 68 
Petersburg, AK, 68 , 99 
Prince of Wales-Hyder, AK, 102 , 32 
Sitka, AK, 487 , 33 
Skagway, AK, 66 , 4 
Southeast Fairbanks, AK, 326 , 52 
Valdez-Cordova, AK, 345 , 78 
Wade Hampton, AK, 149 , 48 
Wrangell, AK, 86 , -   
Yakutat, AK, -   , 13 
Yukon-Koyukuk, AK, 153 , 39 
ARIZONA,," 337,568 "," 74,233 "
Apache, AZ," 2,818 ", 312 
Cochise, AZ," 6,684 ", 953 
Coconino, AZ," 15,230 "," 1,816 "
Gila, AZ," 1,297 ", 424 
Graham, AZ," 2,358 ", 334 
Greenlee, AZ, 311 , 41 
La Paz, AZ, 175 , 150 
Maricopa, AZ," 202,254 "," 48,800 "
Mohave, AZ," 5,607 ", 908 
Navajo, AZ," 4,046 ", 815 
Pima, AZ," 66,872 "," 14,480 "
Pinal, AZ," 11,477 "," 2,360 "
Santa Cruz, AZ," 1,582 ", 264 
Yavapai, AZ," 9,586 "," 1,690 "
Yuma, AZ," 7,271 ", 886 
ARKANSAS,," 144,852 "," 22,905 "
Arkansas, AR, 600 , 34 
Ashley, AR, 517 , 55 
Baxter, AR," 1,428 ", 46 
Benton, AR," 8,213 "," 1,373 "
Boone, AR, 984 , 243 
Bradley, AR, 178 , 57 
Calhoun, AR, 201 , 12 
Carroll, AR, 725 , 244 
Chicot, AR, 221 , 33 
Clark, AR," 4,579 ", 166 
Clay, AR, 567 , 37 
Cleburne, AR, 816 , 71 
Cleveland, AR, 241 , 23 
Columbia, AR," 2,585 ", 151 
Conway, AR, 674 , 169 
Craighead, AR," 6,938 ", 875 
Crawford, AR," 1,849 ", 317 
Crittenden, AR," 2,901 ", 414 
Cross, AR, 701 , 151 
Dallas, AR, 167 , 37 
Desha, AR, 378 , 56 
Drew, AR," 1,538 ", 231 
