Area_name,,Median gross rent of specified renter-occupied housing units paying cash rent 2005-2009
UNITED STATES,,817
ALABAMA,,621
Autauga, AL,779
Baldwin, AL,788
Barbour, AL,499
Bibb, AL,506
Blount, AL,541
Bullock, AL,363
Butler, AL,453
Calhoun, AL,571
Chambers, AL,552
Cherokee, AL,450
Chilton, AL,570
Choctaw, AL,510
Clarke, AL,454
Clay, AL,432
Cleburne, AL,517
Coffee, AL,563
Colbert, AL,541
Conecuh, AL,501
Coosa, AL,498
Covington, AL,494
Crenshaw, AL,449
Cullman, AL,547
Dale, AL,584
Dallas, AL,531
DeKalb, AL,494
Elmore, AL,674
Escambia, AL,506
Etowah, AL,560
Fayette, AL,425
Franklin, AL,462
Geneva, AL,483
Greene, AL,414
Hale, AL,478
Henry, AL,495
Houston, AL,578
Jackson, AL,468
Jefferson, AL,726
Lamar, AL,373
Lauderdale, AL,528
Lawrence, AL,479
Lee, AL,632
Limestone, AL,528
Lowndes, AL,539
Macon, AL,537
Madison, AL,644
Marengo, AL,458
Marion, AL,367
Marshall, AL,523
Mobile, AL,666
Monroe, AL,447
Montgomery, AL,721
Morgan, AL,550
Perry, AL,459
Pickens, AL,409
Pike, AL,499
Randolph, AL,456
Russell, AL,596
St. Clair, AL,637
Shelby, AL,807
Sumter, AL,476
Talladega, AL,515
Tallapoosa, AL,470
Tuscaloosa, AL,671
Walker, AL,529
Washington, AL,503
Wilcox, AL,382
Winston, AL,395
ALASKA,,949
Aleutians East, AK,654
Aleutians West, AK,1239
Anchorage, AK,989
Bethel, AK,944
Bristol Bay, AK,1017
Denali, AK,510
Dillingham, AK,934
Fairbanks North Star, AK,946
Haines, AK,719
Hoonah-Angoon, AK,619
Juneau, AK,1028
Kenai Peninsula, AK,770
Ketchikan Gateway, AK,868
Kodiak Island, AK,992
Lake and Peninsula, AK,684
Matanuska-Susitna, AK,896
Nome, AK,949
North Slope, AK,931
Northwest Arctic, AK,1017
Petersburg, AK,553
Prince of Wales-Hyder, AK,668
Sitka, AK,934
Skagway, AK,1002
Southeast Fairbanks, AK,875
Valdez-Cordova, AK,756
Wade Hampton, AK,533
Wrangell, AK,908
Yakutat, AK,868
Yukon-Koyukuk, AK,659
ARIZONA,,836
Apache, AZ,507
Cochise, AZ,692
Coconino, AZ,861
Gila, AZ,738
Graham, AZ,577
Greenlee, AZ,379
La Paz, AZ,502
Maricopa, AZ,889
Mohave, AZ,804
Navajo, AZ,602
Pima, AZ,717
Pinal, AZ,810
Santa Cruz, AZ,635
Yavapai, AZ,822
Yuma, AZ,708
ARKANSAS,,600
Arkansas, AR,549
Ashley, AR,475
Baxter, AR,581
Benton, AR,710
Boone, AR,535
Bradley, AR,492
Calhoun, AR,494
Carroll, AR,542
Chicot, AR,476
Clark, AR,570
Clay, AR,435
Cleburne, AR,602
Cleveland, AR,534
Columbia, AR,505
