Areaname,,,"New private housing units authorized by building permits - total 2010 (20,000-place universe)"
UNITED STATES,,,604610
ALABAMA,,,11261
Autauga, AL,,191
Baldwin, AL,,696
Barbour, AL,,10
Bibb, AL,,8
Blount, AL,,18
Bullock, AL,,1
Butler, AL,,3
Calhoun, AL,,107
Chambers, AL,,10
Cherokee, AL,,6
Chilton, AL,,22
Choctaw, AL,,1
Clarke, AL,,5
Clay, AL,,2
Cleburne, AL,,8
Coffee, AL,,239
Colbert, AL,,88
Conecuh, AL,,1
Coosa, AL,,0
Covington, AL,,12
Crenshaw, AL,,1
Cullman, AL,,24
Dale, AL,,136
Dallas, AL,,36
DeKalb, AL,,32
Elmore, AL,,128
Escambia, AL,,7
Etowah, AL,,105
Fayette, AL,,3
Franklin, AL,,12
Geneva, AL,,18
Greene, AL,,3
Hale, AL,,22
Henry, AL,,42
Houston, AL,,261
Jackson, AL,,18
Jefferson, AL,,1277
Lamar, AL,,1
Lauderdale, AL,,144
Lawrence, AL,,0
Lee, AL,,971
Limestone, AL,,138
Lowndes, AL,,3
Macon, AL,,5
Madison, AL,,2137
Marengo, AL,,32
Marion, AL,,7
Marshall, AL,,53
Mobile, AL,,1026
Monroe, AL,,1
Montgomery, AL,,671
Morgan, AL,,165
Perry, AL,,0
Pickens, AL,,4
Pike, AL,,88
Randolph, AL,,0
Russell, AL,,934
St. Clair, AL,,111
Shelby, AL,,473
Sumter, AL,,5
Talladega, AL,,116
Tallapoosa, AL,,9
Tuscaloosa, AL,,598
Walker, AL,,15
Washington, AL,,1
Wilcox, AL,,0
Winston, AL,,0
ALASKA,,,904
Aleutians East, AK,,0
Aleutians West, AK,,8
Anchorage, AK,,480
Bethel, AK,,10
Bristol Bay, AK,,1
Denali, AK,,0
Dillingham, AK,,0
Fairbanks North Star, AK,,42
Haines, AK,,6
Hoonah-Angoon, AK,,4
Juneau, AK,,53
Kenai Peninsula, AK,,89
Ketchikan Gateway, AK,,17
Kodiak Island, AK,,17
Lake and Peninsula, AK,,0
Matanuska-Susitna, AK,,53
Nome, AK,,1
North Slope, AK,,12
Northwest Arctic, AK,,4
Petersburg, AK,,5
Prince of Wales-Hyder, AK,,4
Sitka, AK,,13
Skagway, AK,,0
Southeast Fairbanks, AK,,0
Valdez-Cordova, AK,,19
Wade Hampton, AK,,0
Wrangell, AK,,0
Yakutat, AK,,2
Yukon-Koyukuk, AK,,0
ARIZONA,,,12370
Apache, AZ,,48
Cochise, AZ,,347
Coconino, AZ,,315
Gila, AZ,,73
Graham, AZ,,80
Greenlee, AZ,,4
La Paz, AZ,,16
Maricopa, AZ,,6703
Mohave, AZ,,262
Navajo, AZ,,140
Pima, AZ,,1938
Pinal, AZ,,1597
Santa Cruz, AZ,,53
Yavapai, AZ,,339
Yuma, AZ,,455
ARKANSAS,,,7177
Arkansas, AR,,17
Ashley, AR,,0
Baxter, AR,,17
Benton, AR,,769
Boone, AR,,71
Bradley, AR,,1
Calhoun, AR,,1
Carroll, AR,,10
Chicot, AR,,5
Clark, AR,,13
Clay, AR,,12
Cleburne, AR,,16
Cleveland, AR,,0
Columbia, AR,,8
Conway, AR,,8
Craighead, AR,,590
Crawford, AR,,104
Crittenden, AR,,42
Cross, AR,,8
Dallas, AR,,5
Desha, AR,,2
Drew, AR,,86
Faulkner, AR,,1070
Franklin, AR,,8
Fulton, AR,,0
Garland, AR,,38
Grant, AR,,39
Greene, AR,,168
Hempstead, AR,,5
Hot Spring, AR,,2
Howard, AR,,13
Independence, AR,,17
Izard, AR,,2
Jackson, AR,,6
Jefferson, AR,,124
Johnson, AR,,10
Lafayette, AR,,0
Lawrence, AR,,9
Lee, AR,,27
Lincoln, AR,,2
Little River, AR,,3
Logan, AR,,14
Lonoke, AR,,312
Madison, AR,,20
Marion, AR,,11
Miller, AR,,45
Mississippi, AR,,35
Monroe, AR,,1
Montgomery, AR,,0
Nevada, AR,,1
Newton, AR,,1
Ouachita, AR,,6
Perry, AR,,4
Phillips, AR,,2
Pike, AR,,0
Poinsett, AR,,21
Polk, AR,,37
Pope, AR,,133
Prairie, AR,,3
Pulaski, AR,,1283
Randolph, AR,,6
St. Francis, AR,,0
Saline, AR,,851
Scott, AR,,2
Searcy, AR,,0
Sebastian, AR,,462
Sevier, AR,,4
Sharp, AR,,3
Stone, AR,,9
Union, AR,,3
Van Buren, AR,,7
Washington, AR,,417
White, AR,,151
Woodruff, AR,,4
Yell, AR,,1
CALIFORNIA,,,43716
Alameda, CA,,1727
Alpine, CA,,4
Amador, CA,,29
Butte, CA,,512
Calaveras, CA,,45
Colusa, CA,,19
Contra Costa, CA,,1676
Del Norte, CA,,29
El Dorado, CA,,120
Fresno, CA,,2248
Glenn, CA,,45
Humboldt, CA,,191
Imperial, CA,,102
Inyo, CA,,8
Kern, CA,,1656
Kings, CA,,265
Lake, CA,,46
Lassen, CA,,13
Los Angeles, CA,,7260
Madera, CA,,192
Marin, CA,,186
Mariposa, CA,,45
Mendocino, CA,,157
Merced, CA,,106
Modoc, CA,,16
Mono, CA,,22
Monterey, CA,,279
Napa, CA,,110
Nevada, CA,,142
Orange, CA,,3134
Placer, CA,,1166
Plumas, CA,,35
Riverside, CA,,4547
Sacramento, CA,,1162
San Benito, CA,,47
San Bernardino, CA,,1789
San Diego, CA,,3494
San Francisco, CA,,779
San Joaquin, CA,,813
San Luis Obispo, CA,,468
San Mateo, CA,,253
Santa Barbara, CA,,400
Santa Clara, CA,,4132
Santa Cruz, CA,,158
Shasta, CA,,253
Sierra, CA,,7
Siskiyou, CA,,58
Solano, CA,,467
Sonoma, CA,,477
Stanislaus, CA,,292
Sutter, CA,,88
Tehama, CA,,77
Trinity, CA,,40
Tulare, CA,,1367
Tuolumne, CA,,57
Ventura, CA,,590
Yolo, CA,,254
Yuba, CA,,62
COLORADO,,,11591
Adams, CO,,662
Alamosa, CO,,38
Arapahoe, CO,,1279
Archuleta, CO,,37
Baca, CO,,2
Bent, CO,,0
Boulder, CO,,657
Broomfield, CO,,232
Chaffee, CO,,101
Cheyenne, CO,,1
Clear Creek, CO,,13
Conejos, CO,,17
Costilla, CO,,24
Crowley, CO,,4
Custer, CO,,67
Delta, CO,,10
Denver, CO,,1232
Dolores, CO,,0
Douglas, CO,,915
Eagle, CO,,61
Elbert, CO,,33
El Paso, CO,,1718
Fremont, CO,,53
Garfield, CO,,37
Gilpin, CO,,4
Grand, CO,,159
Gunnison, CO,,73
Hinsdale, CO,,11
Huerfano, CO,,30
Jackson, CO,,7
Jefferson, CO,,577
Kiowa, CO,,6
Kit Carson, CO,,2
Lake, CO,,19
La Plata, CO,,222
Larimer, CO,,1153
Las Animas, CO,,20
Lincoln, CO,,1
Logan, CO,,15
Mesa, CO,,408
Mineral, CO,,5
Moffat, CO,,7
Montezuma, CO,,14
Montrose, CO,,62
Morgan, CO,,22
Otero, CO,,3
Ouray, CO,,20
Park, CO,,95
Phillips, CO,,3
Pitkin, CO,,44
Prowers, CO,,2
Pueblo, CO,,234
Rio Blanco, CO,,22
Rio Grande, CO,,21
Routt, CO,,27
Saguache, CO,,35
San Juan, CO,,1
San Miguel, CO,,47
Sedgwick, CO,,0
Summit, CO,,117
Teller, CO,,42
Washington, CO,,5
Weld, CO,,863
Yuma, CO,,0
CONNECTICUT,,,3932
Fairfield, CT,,926
Hartford, CT,,810
Litchfield, CT,,164
Middlesex, CT,,279
New Haven, CT,,1019
New London, CT,,344
Tolland, CT,,190
Windham, CT,,200
DELAWARE,,,3072
Kent, DE,,813
New Castle, DE,,705
Sussex, DE,,1554
DISTRICT OF COLUMBIA,,,739
District of Columbia,,,739
FLORIDA,,,38679
Alachua, FL,,454
Baker, FL,,35
Bay, FL,,309
Bradford, FL,,31
Brevard, FL,,1144
Broward, FL,,1168
Calhoun, FL,,17
Charlotte, FL,,425
Citrus, FL,,199
Clay, FL,,551
Collier, FL,,1259
Columbia, FL,,84
DeSoto, FL,,96
Dixie, FL,,18
Duval, FL,,1501
Escambia, FL,,973
Flagler, FL,,278
Franklin, FL,,6
Gadsden, FL,,89
Gilchrist, FL,,36
Glades, FL,,8
Gulf, FL,,45
Hamilton, FL,,22
Hardee, FL,,12
Hendry, FL,,22
Hernando, FL,,242
Highlands, FL,,154
Hillsborough, FL,,3950
Holmes, FL,,16
Indian River, FL,,307
Jackson, FL,,58
Jefferson, FL,,21
Lafayette, FL,,19
Lake, FL,,552
Lee, FL,,1276
