Areaname,,Resident population: Median age (April 1 - complete count) 2010
UNITED STATES,,37.2
ALABAMA,,37.9
Autauga, AL,37
Baldwin, AL,41.1
Barbour, AL,39
Bibb, AL,37.8
Blount, AL,39
Bullock, AL,38.5
Butler, AL,40.1
Calhoun, AL,38.2
Chambers, AL,41.5
Cherokee, AL,43.9
Chilton, AL,37.6
Choctaw, AL,43.4
Clarke, AL,40.2
Clay, AL,42
Cleburne, AL,40.6
Coffee, AL,37.6
Colbert, AL,41.8
Conecuh, AL,43
Coosa, AL,44.2
Covington, AL,42.4
Crenshaw, AL,40.7
Cullman, AL,39.9
Dale, AL,36.1
Dallas, AL,37.7
DeKalb, AL,37.5
Elmore, AL,37.8
Escambia, AL,39.2
Etowah, AL,40.2
Fayette, AL,42.5
Franklin, AL,37.8
Geneva, AL,42
Greene, AL,41.8
Hale, AL,40
Henry, AL,42.8
Houston, AL,38.5
Jackson, AL,41.4
Jefferson, AL,37.1
Lamar, AL,43.5
Lauderdale, AL,40.4
Lawrence, AL,40.6
Lee, AL,29.5
Limestone, AL,38.4
Lowndes, AL,40.6
Macon, AL,36.3
Madison, AL,37.3
Marengo, AL,40.4
Marion, AL,42.8
Marshall, AL,38.2
Mobile, AL,36.6
Monroe, AL,40.1
Montgomery, AL,34.9
Morgan, AL,39
Perry, AL,37.2
Pickens, AL,41.9
Pike, AL,31.4
Randolph, AL,41.2
Russell, AL,35.8
St. Clair, AL,38.6
Shelby, AL,36.9
Sumter, AL,37.7
Talladega, AL,39.3
Tallapoosa, AL,42.4
Tuscaloosa, AL,31.2
Walker, AL,41.2
Washington, AL,39.7
Wilcox, AL,38.8
Winston, AL,43.1
ALASKA,,33.8
Aleutians East, AK,42.1
Aleutians West, AK,40.7
Anchorage, AK,32.9
Bethel, AK,26.2
Bristol Bay, AK,42.8
Denali, AK,41.5
Dillingham, AK,29
Fairbanks North Star, AK,31
Haines, AK,46.9
Hoonah-Angoon, AK,46
Juneau, AK,38.1
Kenai Peninsula, AK,40.6
Ketchikan Gateway, AK,38.4
Kodiak Island, AK,32.5
Lake and Peninsula, AK,30.8
Matanuska-Susitna, AK,34.8
Nome, AK,27.6
North Slope, AK,35.1
Northwest Arctic, AK,25.7
Petersburg, AK,41.5
Prince of Wales-Hyder, AK,39.9
Sitka, AK,38.2
Skagway, AK,41.2
Southeast Fairbanks, AK,37.4
Valdez-Cordova, AK,39.8
Wade Hampton, AK,21.9
Wrangell, AK,46.7
Yakutat, AK,39.7
Yukon-Koyukuk, AK,35.3
ARIZONA,,35.9
Apache, AZ,32.4
Cochise, AZ,39.7
Coconino, AZ,31
Gila, AZ,47.9
Graham, AZ,31.6
Greenlee, AZ,34.8
La Paz, AZ,53.9
Maricopa, AZ,34.6
Mohave, AZ,47.6
Navajo, AZ,34.7
Pima, AZ,37.7
Pinal, AZ,35.3
Santa Cruz, AZ,35.6
Yavapai, AZ,49.2
Yuma, AZ,33.8
ARKANSAS,,37.4
Arkansas, AR,40.7
Ashley, AR,40.3
