Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
UNITED STATES,,79.6,12.9,4.6
ALABAMA,,70.9,26.3,1
Autauga, AL,79.4,18.4,0.6
Baldwin, AL,87.8,10,0.6
Barbour, AL,51.7,46.6,0.3
Bibb, AL,76.7,22.3,0.1
Blount, AL,96.2,2.1,0.2
Bullock, AL,30.4,68.2,0.3
Butler, AL,56.8,41.9,0.5
Calhoun, AL,77.6,20,0.8
Chambers, AL,61,37.8,0.2
Cherokee, AL,92.8,5.6,0.4
Chilton, AL,87.3,11.4,0.3
Choctaw, AL,55.5,43.6,0.1
Clarke, AL,55.2,43.6,0.3
Clay, AL,82.6,15.8,0.1
Cleburne, AL,94.2,4.5,0.1
Coffee, AL,78,17.9,1.2
Colbert, AL,81.6,16.6,0.3
Conecuh, AL,55.2,43.6,0.1
Coosa, AL,68.2,30.4,0.1
Covington, AL,85.1,13.1,0.4
Crenshaw, AL,73.3,25.2,0.2
Cullman, AL,96.7,1.7,0.2
Dale, AL,75.2,20.6,1.3
Dallas, AL,31,67.8,0.4
DeKalb, AL,95.4,2,0.4
Elmore, AL,76.1,21.8,0.5
Escambia, AL,63.1,32.1,0.3
Etowah, AL,83.3,14.8,0.5
Fayette, AL,86.3,12.4,0.4
Franklin, AL,93.7,4.4,0.3
Geneva, AL,87.6,10.5,0.1
Greene, AL,20.2,79.1,0.2
Hale, AL,41.3,57.7,0.2
Henry, AL,68.9,30,0.1
Houston, AL,71.7,25.9,0.9
Jackson, AL,91.8,3.8,0.3
Jefferson, AL,56.2,40.9,1.4
Lamar, AL,87.3,11.7,0.1
Lauderdale, AL,88,10.3,0.4
Lawrence, AL,79,11.8,0.2
Lee, AL,73.2,23.6,2
Limestone, AL,84.2,13.5,0.8
Lowndes, AL,28.9,70.1,0.1
Macon, AL,16.1,81.8,1.1
Madison, AL,70.8,24.3,2.3
Marengo, AL,48,51.1,0.2
Marion, AL,94.3,4.2,0.2
Marshall, AL,95.4,2.1,0.6
Mobile, AL,61.7,34.5,2
Monroe, AL,56.8,40.8,0.3
Montgomery, AL,42.9,54.3,1.4
Morgan, AL,85.1,12,0.8
Perry, AL,31.5,67.5,0.1
Pickens, AL,56.6,42.3,0.1
Pike, AL,59.7,37.3,0.8
Randolph, AL,76.6,22,0.4
Russell, AL,55.8,41.7,0.7
St. Clair, AL,88.9,9.4,0.4
Shelby, AL,86.7,10.6,1.5
Sumter, AL,26.9,72.1,0.1
Talladega, AL,66.7,31.8,0.4
Tallapoosa, AL,73,25.8,0.3
Tuscaloosa, AL,66.4,31.2,1.2
Walker, AL,91.9,6.6,0.3
Washington, AL,65.2,25.8,0.1
Wilcox, AL,27.5,71.8,0.1
Winston, AL,97.4,1,0.2
ALASKA,,70.3,4.2,5
Aleutians East, AK,32.5,1.9,35.3
Aleutians West, AK,44.9,3.6,27.3
Anchorage, AK,71.7,6.9,7.3
Bethel, AK,12.7,1,1.4
Bristol Bay, AK,48.2,0.8,0.9
Denali, AK,85.7,1.6,2.1
Dillingham, AK,20.6,0.4,0.7
Fairbanks North Star, AK,79.3,6.4,2.7
Haines, AK,83.2,0.3,0.7
Hoonah-Angoon, AK,44.9,0.3,0.5
Juneau, AK,72.8,1.1,5.8
Kenai Peninsula, AK,86.5,0.7,1.2
Ketchikan Gateway, AK,71.3,1.1,5.7
Kodiak Island, AK,61.3,1.7,17.4
Lake and Peninsula, AK,20.7,0.1,1
Matanuska-Susitna, AK,86.9,1.4,1.1
Nome, AK,17.4,0.6,1.3
