Area_name,,Resident population (April 1 - complete count) 2010,Percent change 2000 - 2010
UNITED STATES,,308745538,9.8
ALABAMA,,4779736,3.8
Autauga, AL,54571,6.1
Baldwin, AL,182265,25.1
Barbour, AL,27457,2.7
Bibb, AL,22915,5.4
Blount, AL,57322,7.6
Bullock, AL,10914,4.2
Butler, AL,20947,1
Calhoun, AL,118572,-3.1
Chambers, AL,34215,-5.9
Cherokee, AL,25989,4.2
Chilton, AL,43643,6
Choctaw, AL,13859,-4.9
Clarke, AL,25833,-1.7
Clay, AL,13932,-3.3
Cleburne, AL,14972,1.1
Coffee, AL,49948,4.4
Colbert, AL,54428,-5.2
Conecuh, AL,13228,-11.5
Coosa, AL,11539,-2.8
Covington, AL,37765,-1
Crenshaw, AL,13906,-3.4
Cullman, AL,80406,9.7
Dale, AL,50251,3.8
Dallas, AL,43820,-10.8
DeKalb, AL,71109,1.9
Elmore, AL,79303,13.4
Escambia, AL,38319,-7.6
Etowah, AL,104430,-3.1
Fayette, AL,17241,-4.5
Franklin, AL,31704,-1.9
Geneva, AL,26790,-2.5
Greene, AL,9045,-7.9
Hale, AL,15760,-0.7
Henry, AL,17302,0.5
Houston, AL,101547,9
Jackson, AL,53227,-7
Jefferson, AL,658466,-3
Lamar, AL,14564,-4.5
Lauderdale, AL,92709,-1.1
Lawrence, AL,34339,4.5
Lee, AL,140247,14.2
Limestone, AL,82782,17.7
Lowndes, AL,11299,-4.5
Macon, AL,21452,-7.1
Madison, AL,334811,21.3
Marengo, AL,21027,-7.8
Marion, AL,30776,-0.7
Marshall, AL,93019,7.9
Mobile, AL,412992,3.7
Monroe, AL,23068,5.8
Montgomery, AL,229363,6.1
Morgan, AL,119490,10.9
Perry, AL,10591,-15
Pickens, AL,19746,-3.6
Pike, AL,32899,-1.6
Randolph, AL,22913,-1
Russell, AL,52947,-1
St. Clair, AL,83593,20.9
Shelby, AL,195085,49.9
Sumter, AL,13763,-4.3
Talladega, AL,82291,0.4
Tallapoosa, AL,41616,0.2
Tuscaloosa, AL,194656,9.4
Walker, AL,67023,-1.4
Washington, AL,17581,-0.8
Wilcox, AL,11670,-8
Winston, AL,24484,0.5
ALASKA,,710231,36.9
Aleutians East, AK,3141,50
Aleutians West, AK,5561,54.7
Anchorage, AK,291826,29.8
Bethel, AK,17013,24.2
Bristol Bay, AK,997,28.9
Denali, AK,1826,0
Dillingham, AK,4847,24.1
Fairbanks North Star, AK,97581,44
Haines, AK,2508,26
Hoonah-Angoon, AK,2150,26.1
Juneau, AK,31275,37
Kenai Peninsula, AK,55400,61.4
Ketchikan Gateway, AK,13477,22.2
Kodiak Island, AK,13592,33.9
Lake and Peninsula, AK,1631,20.5
Matanuska-Susitna, AK,88995,122.7
Nome, AK,9492,26.8
North Slope, AK,9430,42.4
Northwest Arctic, AK,7523,26.5
Petersburg, AK,3815,14.2
Prince of Wales-Hyder, AK,5559,64.3
Sitka, AK,8881,10.1
Skagway, AK,968,0
Southeast Fairbanks, AK,7029,4.2
Valdez-Cordova, AK,9636,19.2
Wade Hampton, AK,7459,24.1
Wrangell, AK,2369,0
Yakutat, AK,662,0
Yukon-Koyukuk, AK,5588,0
ARIZONA,,6392017,34.9
Apache, AZ,71518,18.2
Cochise, AZ,131346,13.9
Coconino, AZ,134421,28.8
Gila, AZ,53597,8.5
Graham, AZ,37220,16.1
Greenlee, AZ,8437,-29.8
La Paz, AZ,20489,10.2
Maricopa, AZ,3817117,40.6
Mohave, AZ,200186,67.4
Navajo, AZ,107449,14.9
Pima, AZ,980263,25.5
Pinal, AZ,375770,28
Santa Cruz, AZ,47420,45.1
Yavapai, AZ,211033,58.1
Yuma, AZ,195751,40.3
ARKANSAS,,2915918,2.8
Arkansas, AR,19019,-10.4
Ashley, AR,21853,-8.4
Baxter, AR,41513,13.8
Benton, AR,221339,24.8
Boone, AR,36903,8.6
Bradley, AR,11508,-14.6
Calhoun, AR,5368,-4.2
Carroll, AR,27446,15.1
Chicot, AR,11800,-11.7
Clark, AR,22995,-8.1
Clay, AR,16083,-12.2
Cleburne, AR,25970,14.8
Cleveland, AR,8689,-1.1
Columbia, AR,24552,-3.6
Conway, AR,21273,-1.8
Craighead, AR,96443,9
Crawford, AR,61948,15.2
Crittenden, AR,50902,0.9
Cross, AR,17870,-5.9
Dallas, AR,8116,-8.6
Desha, AR,13008,-15
Drew, AR,18509,-3
Faulkner, AR,113237,29.9
Franklin, AR,18125,1.3
Fulton, AR,12245,0.6
Garland, AR,96024,4.1
Grant, AR,17853,7.2
Greene, AR,42090,3.4
Hempstead, AR,22609,-8.5
Hot Spring, AR,32923,-2.6
Howard, AR,13789,0.8
Independence, AR,36647,3.5
Izard, AR,13696,5.5
Jackson, AR,17997,-12.5
Jefferson, AR,77435,-5.8
Johnson, AR,25540,4.6
Lafayette, AR,7645,-5.6
Lawrence, AR,17415,-5.4
Lee, AR,10424,-16
Lincoln, AR,14134,2.4
Little River, AR,13171,0.1
Logan, AR,22353,2.1
Lonoke, AR,68356,13.8
Madison, AR,15717,2.2
Marion, AR,16653,5.9
Miller, AR,43462,1.9
Mississippi, AR,46480,-3.3
Monroe, AR,8149,-19.3
Montgomery, AR,9487,0.9
Nevada, AR,8997,-9
Newton, AR,8330,-1.2
Ouachita, AR,26120,0.1
Perry, AR,10445,9.7
Phillips, AR,21757,-17.1
Pike, AR,11291,-2.8
Poinsett, AR,24583,-8.8
Polk, AR,20662,2
Pope, AR,61754,17.8
Prairie, AR,8715,-6.1
Pulaski, AR,382748,2.6
Randolph, AR,17969,-1.6
St. Francis, AR,28258,-7.7
Saline, AR,107118,20.7
Scott, AR,11233,5.4
Searcy, AR,8195,-11.4
Sebastian, AR,125744,4.6
Sevier, AR,17058,-3
Sharp, AR,17264,-3.4
Stone, AR,12394,8.3
Union, AR,41639,-3.8
Van Buren, AR,17295,4.9
Washington, AR,203065,12.9
White, AR,77076,7.6
Woodruff, AR,7260,-15.2
Yell, AR,22185,4.3
CALIFORNIA,,37253956,25.7
Alameda, CA,1510271,15.5
Alpine, CA,1175,1.5
Amador, CA,38091,55.5
Butte, CA,220000,26.6
Calaveras, CA,45578,54.5
Colusa, CA,21419,27.2
Contra Costa, CA,1049025,22.5
Del Norte, CA,28610,28.8
El Dorado, CA,181058,46.8
Fresno, CA,930450,29.7
Glenn, CA,28122,16.1
Humboldt, CA,134623,9.8
Imperial, CA,174528,18.7
Inyo, CA,18546,2.2
Kern, CA,839631,35.2
Kings, CA,152982,37.6
Lake, CA,64665,39.2
Lassen, CA,34895,27.4
Los Angeles, CA,9818605,18.5
Madera, CA,150865,39.6
Marin, CA,252409,3.4
Mariposa, CA,18251,28.8
Mendocino, CA,87841,20.4
Merced, CA,255793,32.6
Modoc, CA,9686,12.4
Mono, CA,14202,16.1
Monterey, CA,415057,22.5
Napa, CA,136484,11.7
Nevada, CA,98764,52
Orange, CA,3010232,24.7
Placer, CA,348432,47.4
Plumas, CA,20007,13.8
Riverside, CA,2189641,76.5
Sacramento, CA,1418788,32.9
San Benito, CA,55269,46.8
San Bernardino, CA,2035210,58.5
San Diego, CA,3095313,34.2
San Francisco, CA,805235,6.6
San Joaquin, CA,685306,38.4
San Luis Obispo, CA,269637,39.7
San Mateo, CA,718451,10.6
Santa Barbara, CA,423895,23.7
Santa Clara, CA,1781642,15.6
Santa Cruz, CA,262382,22.1
Shasta, CA,177223,27.2
Sierra, CA,3240,8
Siskiyou, CA,44900,9.6
Solano, CA,413344,44.3
Sonoma, CA,483878,29.5
Stanislaus, CA,514453,39.3
Sutter, CA,94737,23.3
Tehama, CA,63463,27.6
Trinity, CA,13786,10.2
Tulare, CA,442179,26.9
Tuolumne, CA,55365,42.8
Ventura, CA,823318,26.4
Yolo, CA,200849,24.6
Yuba, CA,72155,17.1
COLORADO,,5029196,14
Adams, CO,441603,7.8
Alamosa, CO,15445,15.4
Arapahoe, CO,572003,33.5
Archuleta, CO,12084,45.9
Baca, CO,3788,-15.9
Bent, CO,6499,-15.1
Boulder, CO,294567,18.8
Broomfield, CO,55889,0
Chaffee, CO,17809,-4.1
Cheyenne, CO,1836,11.3
Clear Creek, CO,9088,4.3
Conejos, CO,8256,-4.4
Costilla, CO,3524,3.9
Crowley, CO,5823,32.1
Custer, CO,4255,26
Delta, CO,30952,-1.2
Denver, CO,600158,-5.1
Dolores, CO,2064,-9.3
Douglas, CO,285465,140.1
Eagle, CO,52197,64.6
Elbert, CO,23086,40.8
El Paso, CO,622263,28.3
Fremont, CO,46824,12.5
Garfield, CO,56389,33.1
Gilpin, CO,5441,25.8
Grand, CO,14843,6.6
Gunnison, CO,15324,-3.9
Hinsdale, CO,843,14.5
Huerfano, CO,6711,-6.7
Jackson, CO,1394,-13.8
Jefferson, CO,534543,17.9
Kiowa, CO,1398,-12.8
Kit Carson, CO,8270,-6
Lake, CO,7310,-32
La Plata, CO,51334,18.7
Larimer, CO,299630,24.8
Las Animas, CO,15507,-7.6
Lincoln, CO,5467,-2.9
Logan, CO,22709,-11.3
Mesa, CO,146723,14.2
Mineral, CO,712,-30.6
Moffat, CO,13795,-13.5
Montezuma, CO,25535,13.1
Montrose, CO,41276,0.3
Morgan, CO,28159,-2.5
Otero, CO,18831,-10.6
Ouray, CO,4436,19.2
Park, CO,16206,34.5
Phillips, CO,4442,-7.8
Pitkin, CO,17148,22.5
Prowers, CO,12551,2.1
Pueblo, CO,159063,-2.3
Rio Blanco, CO,6666,-3.3
Rio Grande, CO,11982,2.5
Routt, CO,23509,5.1
Saguache, CO,6108,17.4
San Juan, CO,699,-10.6
San Miguel, CO,7359,14.4
Sedgwick, CO,2379,-17.6
Summit, CO,27994,45.6
Teller, CO,23350,55.2
Washington, CO,4814,-9.3
Weld, CO,252825,6.8
Yuma, CO,10043,-7.5
CONNECTICUT,,3574097,5.8
Fairfield, CT,916829,2.5
Hartford, CT,894014,5.4
Litchfield, CT,189927,11.1
Middlesex, CT,165676,11
New Haven, CT,862477,5.6
New London, CT,274055,6.9
Tolland, CT,152691,12.1
Windham, CT,118428,11.1
DELAWARE,,897934,12.1
Kent, DE,162310,13
New Castle, DE,538479,11
Sussex, DE,197145,15.5
DISTRICT OF COLUMBIA,,601723,-4.9
District of Columbia,,601723,-4.9
FLORIDA,,18801310,32.7
Alachua, FL,247336,20
Baker, FL,27115,20.9
Bay, FL,168852,29.9
Bradford, FL,28520,12.4
Brevard, FL,543376,46.2
Broward, FL,1748066,23.3
Calhoun, FL,14625,18.5
Charlotte, FL,159978,89.8
Citrus, FL,141236,70.9
Clay, FL,190865,58.1
Collier, FL,321520,76.9
Columbia, FL,67531,20.4
DeSoto, FL,34862,25.3
Dixie, FL,16422,36.6
Duval, FL,864263,17.9
Escambia, FL,297619,12.4
Flagler, FL,95696,163
Franklin, FL,11549,17
Gadsden, FL,46389,-1.3
Gilchrist, FL,16939,67.6
Glades, FL,12884,26.7
Gulf, FL,15863,7.9
Hamilton, FL,14799,24.8
Hardee, FL,27731,-4.2
Hendry, FL,39140,38.6
Hernando, FL,172778,127.4
Highlands, FL,98786,44
Hillsborough, FL,1229226,28.9
Holmes, FL,19927,7.2
Indian River, FL,138028,50.6
Jackson, FL,49746,5.7
Jefferson, FL,14761,5.5
Lafayette, FL,8870,38.2
Lake, FL,297052,45
Lee, FL,618754,63.3
Leon, FL,275487,29.5
Levy, FL,40801,30.4
Liberty, FL,8365,30.7
Madison, FL,19224,11.2
Manatee, FL,322833,42.6
Marion, FL,331298,59.1
Martin, FL,146318,57.6
Miami-Dade, FL,2496435,19.2
Monroe, FL,73090,23.5
Nassau, FL,73314,33.6
Okaloosa, FL,180822,30.8
Okeechobee, FL,39996,46.2
Orange, FL,1145956,43.9
Osceola, FL,268685,118.6
Palm Beach, FL,1320134,49.7
Pasco, FL,464697,45.2
Pinellas, FL,916542,16.9
Polk, FL,602095,26
Putnam, FL,74364,28.7
St. Johns, FL,190039,63.4
St. Lucie, FL,277789,72.3
Santa Rosa, FL,151372,45.8
Sarasota, FL,379448,37.3
Seminole, FL,422718,60
Sumter, FL,93420,30.1
Suwannee, FL,41551,20.2
Taylor, FL,22570,3.5
Union, FL,15535,0.8
Volusia, FL,494593,43.3
Wakulla, FL,30776,30.4
Walton, FL,55043,30.3
Washington, FL,24896,16.6
GEORGIA,,9687653,18.6
Appling, GA,18236,1.2
Atkinson, GA,8375,1.2
Bacon, GA,11096,2
Baker, GA,3451,-5.1
Baldwin, GA,45720,14
Banks, GA,18395,18.5
Barrow, GA,69367,39.2
Bartow, GA,100157,37.2
Ben Hill, GA,17634,1.5
Berrien, GA,19286,4.6
Bibb, GA,155547,-0.1
Bleckley, GA,13063,-3.1
Brantley, GA,18411,27.3
Brooks, GA,16243,0.9
Bryan, GA,30233,51.7
Bulloch, GA,70217,20.5
Burke, GA,23316,6.4
Butts, GA,23655,12.2
Calhoun, GA,6694,-12.3
Camden, GA,50513,125.6
Candler, GA,10998,3
Carroll, GA,110527,26.8
Catoosa, GA,63942,14.8
Charlton, GA,12171,15.7
Chatham, GA,265128,7.2
Chattahoochee, GA,11267,-22.1
Chattooga, GA,26015,1.8
Cherokee, GA,214346,74.5
Clarke, GA,116714,17.6
Clay, GA,3183,-5.3
Clayton, GA,259424,20.7
Clinch, GA,6798,-7.5
Cobb, GA,688078,50.4
Coffee, GA,42356,10
Colquitt, GA,45498,3.6
Columbia, GA,124053,64.6
Cook, GA,17212,-0.3
Coweta, GA,127317,37.1
Crawford, GA,12630,17
Crisp, GA,23439,2.7
Dade, GA,16633,6.7
Dawson, GA,22330,97.5
Decatur, GA,27842,0.1
DeKalb, GA,691893,13.1
Dodge, GA,21796,3.8
Dooly, GA,14918,-8.5
Dougherty, GA,94565,-4.4
Douglas, GA,132403,30.3
Early, GA,11008,-9.9
Echols, GA,4034,1.6
Effingham, GA,52250,40.2
Elbert, GA,20166,1
Emanuel, GA,22598,-1.2
Evans, GA,11000,3.5
Fannin, GA,23682,8.4
Fayette, GA,106567,114.9
Floyd, GA,96317,1.8
Forsyth, GA,175511,57.7
Franklin, GA,22084,9.6
Fulton, GA,920581,10
Gilmer, GA,28292,20.3
Glascock, GA,3082,-1
Glynn, GA,79626,13.7
Gordon, GA,55186,16.6
Grady, GA,25011,2.2
Greene, GA,15994,3.5
Gwinnett, GA,805321,111.6
Habersham, GA,43041,10.4
Hall, GA,179684,26.2
Hancock, GA,9429,-5.9
Haralson, GA,28780,19.2
Harris, GA,32024,15
Hart, GA,25213,6.1
Heard, GA,11834,32.3
Henry, GA,203922,61.8
Houston, GA,139900,15
Irwin, GA,9538,-3.8
Jackson, GA,60485,18.4
Jasper, GA,13900,11.9
Jeff Davis, GA,15068,4.9
Jefferson, GA,16930,-5.4
Jenkins, GA,8340,-6.7
Johnson, GA,9980,-3.8
Jones, GA,28669,25.1
Lamar, GA,18317,6.7
Lanier, GA,10078,-2.2
Laurens, GA,48434,8.1
Lee, GA,28298,39.1
Liberty, GA,63453,40.3
Lincoln, GA,7996,10.8
Long, GA,14464,37.1
Lowndes, GA,109233,11.8
Lumpkin, GA,29966,35.4
McDuffie, GA,21875,8.5
McIntosh, GA,14333,7.3
Macon, GA,14740,-6.3
Madison, GA,28120,18.6
Marion, GA,8742,5.5
Meriwether, GA,21992,5.6
Miller, GA,6125,-10.8
Mitchell, GA,23498,-4
Monroe, GA,26424,17.1
Montgomery, GA,9123,5.2
Morgan, GA,17868,11.3
Murray, GA,39628,32.8
Muscogee, GA,189885,5.4
Newton, GA,99958,20.6
Oconee, GA,32808,41.8
Oglethorpe, GA,14899,9.3
Paulding, GA,142324,59.4
Peach, GA,27695,10.6
Pickens, GA,29431,23.9
Pierce, GA,18758,12
Pike, GA,17869,14.4
Polk, GA,41475,4.4
Pulaski, GA,12010,-9.4
Putnam, GA,21218,37.3
Quitman, GA,2513,-6.2
Rabun, GA,16276,11.3
Randolph, GA,7719,-16.4
Richmond, GA,200549,4.5
Rockdale, GA,85215,47.9
Schley, GA,5010,4.6
Screven, GA,14593,-1.4
Seminole, GA,8729,-0.5
Spalding, GA,64073,13.7
Stephens, GA,26175,7.7
Stewart, GA,6058,-4.1
Sumter, GA,32819,3
Talbot, GA,6865,-0.2
Taliaferro, GA,1717,-5.8
Tattnall, GA,25520,-2.3
Taylor, GA,8906,-3.3
Telfair, GA,16500,-3.9
Terrell, GA,9315,-11.4
Thomas, GA,44720,2.2
Tift, GA,40118,6.5
Toombs, GA,27223,6.6
Towns, GA,10471,19.8
Treutlen, GA,6885,-1.5
Troup, GA,67044,11.1
Turner, GA,8930,-8.5
Twiggs, GA,9023,4.8
Union, GA,21356,27.7
Upson, GA,27153,1.2
Walker, GA,68756,3.3
Walton, GA,83768,23.6
Ware, GA,36312,-4.6
Warren, GA,5834,-7.7
Washington, GA,21187,1.4
Wayne, GA,30099,7.7
Webster, GA,2799,-3.3
Wheeler, GA,7421,-4.9
White, GA,27144,28.5
Whitfield, GA,102599,10.2
Wilcox, GA,9255,-8.8
Wilkes, GA,10593,-3.2
Wilkinson, GA,9563,-1.4
Worth, GA,21679,9.3
HAWAII,,1360301,14.9
Hawaii, HI,185079,30.7
Honolulu, HI,953207,9.7
Kalawao, HI,90,-9.7
Kauai, HI,67091,30.9
Maui, HI,154834,41.7
IDAHO,,1567582,6.6
Ada, ID,392365,18.9
Adams, ID,3976,-2.8
Bannock, ID,82839,0.9
Bear Lake, ID,5986,-12.2
Benewah, ID,9285,-4.3
Bingham, ID,45607,3
Blaine, ID,21376,37.7
Boise, ID,7028,17
Bonner, ID,40877,10.2
Bonneville, ID,104234,9.4
Boundary, ID,10972,14.3
Butte, ID,2891,-12.7
Camas, ID,1117,-11.1
Canyon, ID,188923,7.5
Caribou, ID,6963,-19.9
Cassia, ID,22952,0.5
Clark, ID,982,-4.5
Clearwater, ID,8761,-18.1
Custer, ID,4368,22.1
Elmore, ID,27038,-1.7
Franklin, ID,12786,3.8
Fremont, ID,13242,1.1
Gem, ID,16719,-1.1
Gooding, ID,15464,-2
Idaho, ID,16267,-6.8
Jefferson, ID,26140,8.1
Jerome, ID,22374,2
Kootenai, ID,138494,16.8
Latah, ID,37244,6.5
Lemhi, ID,7936,-7.5
Lewis, ID,3821,-14.6
Lincoln, ID,5208,-3.7
Madison, ID,37536,21.5
Minidoka, ID,20069,-1.8
Nez Perce, ID,39265,1.6
Oneida, ID,4286,7.2
Owyhee, ID,11526,1.5
Payette, ID,22623,3.8
Power, ID,7817,3.5
Shoshone, ID,12765,-27.5
Teton, ID,10170,18.7
Twin Falls, ID,77230,1.2
Valley, ID,9862,9
Washington, ID,10198,-2.9
ILLINOIS,,12830632,0
Adams, IL,67103,-7.7
Alexander, IL,8238,-13.4
Bond, IL,17768,-7.6
Boone, IL,54165,7.6
Brown, IL,6937,7.9
Bureau, IL,34978,-8.8
Calhoun, IL,5089,-9.3
Carroll, IL,15387,-10.5
Cass, IL,13642,-10.9
Champaign, IL,201081,2.8
Christian, IL,34800,-5.6
Clark, IL,16335,-5.9
Clay, IL,13815,-5.4
Clinton, IL,37762,4.1
Coles, IL,53873,-1.2
Cook, IL,5194675,-2.8
