Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
UNITED STATES,," 14,988,438.00 ",5.4," 116,716,292.00 ",,
ALABAMA,,288062,5.5,1883791,,
Autauga, AL,1914,5.9,20221,,
Baldwin, AL,30881,5.4,73180,,
Barbour, AL,2009,5.4,9820,,
Bibb, AL,1028,5.4,7953,,
Blount, AL,2309,5.5,21578,,
Bullock, AL,748,5.3,3745,,
Butler, AL,1473,5.5,8491,,
Calhoun, AL,5958,5.5,47331,,
Chambers, AL,3071,5.3,13933,,
Cherokee, AL,5641,5.1,10626,,
Chilton, AL,2720,5.4,16558,,
Choctaw, AL,1403,5.4,5866,,
Clarke, AL,2301,5.4,10337,,
Clay, AL,1106,5.2,5670,,
Cleburne, AL,827,5.2,5891,,
Coffee, AL,2481,5.7,19849,,
Colbert, AL,2985,5.6,22773,,
Conecuh, AL,1468,5.8,5625,,
Coosa, AL,1684,5.3,4794,,
Covington, AL,3298,5.5,15531,,
Crenshaw, AL,1083,5.3,5652,,
Cullman, AL,5190,5.4,31864,,
Dale, AL,2612,5.4,20065,,
Dallas, AL,3144,5.3,17064,,
DeKalb, AL,4267,5.3,26842,,
Elmore, AL,4356,5.8,28301,,
Escambia, AL,2329,5.7,14157,,
Etowah, AL,5418,5.6,42036,,
Fayette, AL,1337,5.4,7100,,
Franklin, AL,1736,5.4,12286,,
Geneva, AL,1767,5.5,10920,,
Greene, AL,1243,5,3764,,
Hale, AL,1382,5.1,6273,,
Henry, AL,1897,5.4,6994,,
Houston, AL,4350,5.5,40969,,
Jackson, AL,3273,5.3,21513,,
Jefferson, AL,36984,5.7,263568,,
Lamar, AL,1251,5.4,6103,,
Lauderdale, AL,5111,5.6,38680,,
Lawrence, AL,1575,5.7,13654,,
Lee, AL,6709,5.2,55682,,
Limestone, AL,3531,5.6,31446,,
Lowndes, AL,788,5.3,4352,,
Macon, AL,1760,5.4,8499,,
Madison, AL,11747,5.9,134700,,
Marengo, AL,1702,5.4,8535,,
Marion, AL,2086,5.2,12651,,
Marshall, AL,4532,5.4,35810,,
Mobile, AL,19761,5.6,158435,,
Monroe, AL,2119,5.6,9214,,
Montgomery, AL,11660,5.6,89981,,
Morgan, AL,4163,5.6,47030,,
Perry, AL,790,5.4,3947,,
Pickens, AL,1471,5.3,8012,,
Pike, AL,2057,5.2,13210,,
Randolph, AL,2818,5.4,9164,,
Russell, AL,3366,5.1,21229,,
St. Clair, AL,3917,5.6,31624,,
Shelby, AL,6898,6.2,74072,,
Sumter, AL,1157,5.1,5629,,
Talladega, AL,5198,5.4,31890,,
Tallapoosa, AL,5126,5.3,16985,,
Tuscaloosa, AL,8731,5.3,76141,,
Walker, AL,4245,5.4,26571,,
Washington, AL,1649,5.4,6758,,
